Date	demanda_diaria
2022-05-23	863955727.28
2022-05-24	879742266.8
2022-05-25	876082200.52
2022-05-26	869019609.0
2022-05-27	874446394.04
2022-05-28	839364101.56
2022-05-29	746554914.44
2022-05-30	773859711.0
2022-05-31	853841353.04
2022-06-01	860691498.2
2022-06-02	858648083.52
2022-06-03	844733087.72
2022-06-04	812756810.6
2022-06-05	741357101.2
2022-06-06	842689093.9599999
2022-06-07	840459000.9200001
2022-06-08	843517511.28
2022-06-09	853130567.4399999
2022-06-10	866890121.6800001
2022-06-11	824293920.0
2022-06-12	743122626.9200001
2022-06-13	842107055.48
2022-06-14	842214476.6
2022-06-15	856662481.68
2022-06-16	862854041.56
2022-06-17	856558798.84
2022-06-18	812324041.24
2022-06-19	712986544.92
2022-06-20	751829700.76
2022-06-21	841816532.4399999
2022-06-22	865565077.28
2022-06-23	872932360.56
2022-06-24	856415526.9599999
2022-06-25	807574031.8
2022-06-26	724807014.84
2022-06-27	742100402.16
2022-06-28	834893274.08
2022-06-29	853127983.24
2022-06-30	851872510.6
2022-07-01	853180475.2800001
2022-07-02	820021731.28
2022-07-03	743894521.28
2022-07-04	765623126.0
2022-07-05	854116840.6800001
2022-07-06	864608471.24
2022-07-07	875864840.12
2022-07-08	874154574.24
2022-07-09	845206749.6800001
2022-07-10	773067638.12
2022-07-11	858096766.48
2022-07-12	874702750.3199999
2022-07-13	877397534.56
2022-07-14	885311138.32
2022-07-15	886259511.68
2022-07-16	851747435.36
2022-07-17	775370929.88
2022-07-18	860150523.52
2022-07-19	875635808.76
2022-07-20	824366836.76
2022-07-21	876265070.92
2022-07-22	879389791.96
2022-07-23	839433653.36
2022-07-24	762561026.24
2022-07-25	856340439.96
2022-07-26	865521328.32
2022-07-27	868227132.64
2022-07-28	855484093.4
2022-07-29	879770769.3199999
2022-07-30	854304459.1999999
2022-07-31	773003559.48
2022-08-01	861190798.56
2022-08-02	855924306.88
2022-08-03	859341316.28
2022-08-04	873605128.6
2022-08-05	869288214.68
2022-08-06	822979866.84
2022-08-07	762060346.6
2022-08-08	873253414.56
2022-08-09	884574046.68
2022-08-10	872154197.36
2022-08-11	879290172.84
2022-08-12	881155329.96
2022-08-13	830998035.32
2022-08-14	748612612.6800001
2022-08-15	759942323.4399999
2022-08-16	851751033.28
2022-08-17	885256206.0799999
2022-08-18	900193076.4
2022-08-19	911623096.2
2022-08-20	861113436.04
2022-08-21	758766098.4399999
2022-08-22	855098912.52
2022-08-23	864791929.0400001
2022-08-24	881180699.92
2022-08-25	883330426.5600001
2022-08-26	877607191.6800001
2022-08-27	844043290.5600001
2022-08-28	768737078.04
2022-08-29	844776352.2
2022-08-30	876782211.0799999
2022-08-31	884344650.3199999
2022-09-01	870015881.16
2022-09-02	879330468.1999999
2022-09-03	846266815.3199999
2022-09-04	769773909.52
2022-09-05	872535389.2
2022-09-06	890299313.52
2022-09-07	891791124.0
2022-09-08	883272435.52
2022-09-09	885548259.48
2022-09-10	860161551.08
2022-09-11	764004806.96
2022-09-12	859651618.16
2022-09-13	864627187.5600001
2022-09-14	878691553.68
2022-09-15	890427292.68
2022-09-16	883719361.24
2022-09-17	837301958.68
2022-09-18	752153387.6
2022-09-19	834163339.5600001
2022-09-20	848713881.48
2022-09-21	854565227.6
2022-09-22	853080319.04
2022-09-23	861039309.84
2022-09-24	824343420.04
2022-09-25	740640299.2800001
2022-09-26	860985513.64
2022-09-27	872385757.4
2022-09-28	867402952.04
2022-09-29	863227070.96
2022-09-30	857892430.8
2022-10-01	805194772.12
2022-10-02	749085730.88
2022-10-03	881832915.12
2022-10-04	898117615.4
2022-10-05	874089147.84
2022-10-06	869798965.48
2022-10-07	854411562.76
2022-10-08	818598433.0400001
2022-10-09	746764440.24
2022-10-10	861795886.3199999
2022-10-11	887530505.9200001
2022-10-12	883827544.84
2022-10-13	869146188.24
2022-10-14	871767454.9200001
2022-10-15	838587753.32
2022-10-16	749943868.68
2022-10-17	761678834.88
2022-10-18	864752552.28
2022-10-19	872653325.4399999
2022-10-20	879257805.0400001
2022-10-21	881965725.12
2022-10-22	845007551.04
2022-10-23	763872773.36
2022-10-24	859947163.88
2022-10-25	864824671.6
2022-10-26	864229521.4
2022-10-27	871554471.24
2022-10-28	866839426.16
2022-10-29	827141477.16
2022-10-30	757365570.56
2022-10-31	851236643.68
2022-11-01	878980178.52
2022-11-02	889122854.5600001
2022-11-03	866955231.36
2022-11-04	864344574.36
2022-11-05	807098423.56
2022-11-06	713002293.6
2022-11-07	743497310.96
2022-11-08	840016763.12
2022-11-09	837922977.92
2022-11-10	847518974.4399999
2022-11-11	860454516.6
2022-11-12	819291736.4
